Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Y
28.5,16.2,22.35,0,63,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1
29.2,17.5,23.35,0,61,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3
30.5,16.8,23.65,0,63.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
30.8,18.5,24.65,1.7,83.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24.5,16.5,20.5,0,74,0,1,1,0,0,0,0,0,0,0,0,0,4,0,1
28.5,17.2,22.85,0,66.5,0,1,2,0,0,2,0,0,0,0,0,0,2,0,3
30.2,17.8,24,0,64,0,2,1,0,0,1,0,0,0,0,0,0,1,0,2
30.5,20.6,25.55,0,70.5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
31.8,20.5,26.15,0,63.5,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1
32.2,20.5,26.35,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
30.6,20.2,25.4,0,56.5,0,0,1,0,0,2,0,0,0,0,0,0,2,0,3
30.2,17.8,24,0,49.5,0,0,2,0,0,1,0,0,0,0,0,0,3,0,1
30.3,15.8,23.05,0,50.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
31.5,17.3,24.4,0,55,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2
32.2,18.8,25.5,0,55.5,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1
33.2,21.5,27.35,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
32.3,16.2,24.25,0,56.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
31.8,16.5,24.15,0,54,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
32.3,17.2,24.75,0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
32.5,19.6,26.05,0,53,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5
33.3,18.9,26.1,0,66.5,0,2,0,0,0,0,0,0,0,3,0,0,0,1,3
33.5,19.9,26.7,0,65,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5
32.5,19.2,25.85,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31.5,20.4,25.95,0,68,3,0,1,0,0,0,0,0,0,2,0,0,0,0,1
32.2,19.8,26,1.5,67.5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1
30.5,20.2,25.35,0,65.5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2
32.3,22.5,27.4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
33.5,24.5,29,0,93,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3
